id,age,income,loan_amount,loan_term,credit_score,employment_status,loan_purpose,existing_loans,income_variability,loan_status
2335,50,11012,37463,36,709,Employed,Business,1,Low,1
2336,59,2411,44007,48,498,Employed,Home,1,Low,0
2337,47,10305,18617,12,728,Employed,Education,0,High,1
2338,36,4446,33304,48,774,Employed,Car,3,Low,1
2339,26,5346,8329,12,641,Self-Employed,Car,1,Low,1
2340,53,14411,36193,60,773,Self-Employed,Education,1,Low,0
2341,64,2085,16563,24,696,Unemployed,Car,2,Low,0
2342,38,9749,10584,24,725,Self-Employed,Car,3,High,1
2343,36,6142,13805,12,344,Self-Employed,Education,4,Low,1
2344,32,9087,30264,24,642,Employed,Education,4,Low,1
2345,40,9368,14089,36,316,Employed,Business,0,Low,1
2346,60,11764,18639,36,518,Self-Employed,Business,1,High,0
2347,49,7834,29685,24,490,Self-Employed,Home,4,Low,1
2348,50,12197,16110,12,690,Employed,Car,0,High,1
2349,46,14271,38928,36,738,Self-Employed,Education,2,Low,0
2350,42,2803,49941,24,796,Self-Employed,Home,3,Low,0
2351,53,8719,26128,48,393,Employed,Car,1,High,0
2352,59,13526,45099,36,394,Employed,Car,1,Low,0
2353,49,8085,19684,60,381,Unemployed,Home,0,High,0
2354,42,13541,29419,36,639,Self-Employed,Car,1,Low,0
2355,33,11261,6527,24,659,Employed,Education,3,High,0
2356,29,12861,20220,24,411,Employed,Home,4,High,1
2357,44,14333,28702,24,602,Self-Employed,Home,0,High,1
2358,35,12963,47873,12,350,Self-Employed,Business,3,Low,1
2359,56,14827,32757,12,580,Employed,Education,1,High,0
2360,33,6182,18085,48,412,Self-Employed,Business,4,Low,1
2361,47,11600,20205,48,335,Unemployed,Home,3,Low,1
2362,64,13932,25994,36,377,Employed,Education,4,Low,1
2363,57,2264,35945,24,839,Employed,Education,4,Low,1
2364,27,14040,25634,48,344,Self-Employed,Business,0,High,0
2365,28,5093,47966,24,603,Employed,Car,1,Low,0
2366,57,6798,35569,36,691,Self-Employed,Car,2,High,0
2367,61,11665,35175,12,314,Unemployed,Car,2,Low,0
2368,34,10143,11626,48,466,Unemployed,Business,2,Low,1
2369,32,14473,40623,60,362,Unemployed,Car,3,Low,0
2370,56,2325,8964,60,502,Employed,Business,2,High,0
2371,60,3206,23058,60,456,Unemployed,Business,1,High,0
2372,37,14684,30766,60,814,Self-Employed,Car,2,Low,0
2373,60,11696,40160,60,577,Self-Employed,Business,4,High,0
2374,49,13726,21262,60,400,Unemployed,Business,4,Low,1
2375,47,3440,44646,60,468,Unemployed,Education,4,Low,0
2376,21,7184,39689,48,831,Self-Employed,Home,2,High,1
2377,54,11147,33965,60,702,Unemployed,Business,1,High,0
2378,24,10746,15884,60,440,Unemployed,Home,1,Low,0
2379,44,7136,9433,36,646,Unemployed,Car,2,Low,0
2380,41,13446,23211,48,492,Self-Employed,Education,1,Low,1
2381,53,14331,15691,36,451,Self-Employed,Education,2,High,1
2382,27,10140,36063,24,685,Unemployed,Business,1,High,1
2383,21,7819,38484,60,507,Self-Employed,Education,0,Low,0
2384,61,10069,26244,12,848,Unemployed,Home,0,Low,0
2385,23,14769,29660,60,687,Unemployed,Business,1,Low,1
2386,64,4036,41536,60,377,Unemployed,Education,4,Low,1
2387,35,11478,40475,36,471,Employed,Car,0,High,0
2388,51,11389,35084,24,636,Employed,Business,3,Low,1
2389,36,7560,29802,36,730,Unemployed,Education,2,Low,1
2390,30,14853,47267,48,788,Employed,Business,3,High,0
2391,49,12459,25614,24,405,Unemployed,Car,1,Low,0
2392,26,5629,10033,24,508,Employed,Business,1,High,1
2393,49,13657,9386,24,647,Unemployed,Home,4,Low,1
2394,37,10963,17150,36,651,Employed,Home,0,Low,0
2395,42,7314,13157,60,347,Self-Employed,Education,0,Low,0
2396,44,4456,35408,60,545,Self-Employed,Home,3,Low,0
2397,37,10662,12675,60,330,Employed,Home,0,Low,1
2398,41,3370,31228,60,774,Unemployed,Business,1,Low,0
2399,31,9629,23251,60,776,Employed,Business,4,Low,1
2400,27,13324,28349,48,556,Employed,Education,2,Low,1
2401,62,10863,20826,12,425,Self-Employed,Home,3,High,1
2402,59,3174,14124,24,518,Self-Employed,Car,3,Low,1
2403,25,2110,11588,12,544,Self-Employed,Education,2,Low,1
2404,64,5559,35943,48,779,Employed,Car,1,Low,1
2405,41,8692,33034,60,742,Self-Employed,Home,3,High,1
2406,38,11218,27151,48,800,Self-Employed,Education,0,Low,0
2407,55,13746,37400,48,526,Self-Employed,Car,0,Low,1
2408,40,5233,18536,12,554,Unemployed,Education,0,High,0
2409,35,14631,7700,24,369,Unemployed,Business,4,Low,1
2410,25,3472,31074,36,754,Employed,Business,2,High,1
2411,33,12571,13809,36,301,Self-Employed,Car,1,Low,1
2412,32,6872,20115,24,794,Employed,Business,0,Low,1
2413,41,13163,24071,60,624,Employed,Business,0,Low,1
2414,57,12573,43100,48,702,Self-Employed,Car,4,High,1
2415,26,13482,28190,60,428,Employed,Education,0,Low,0
2416,27,6753,26440,48,782,Self-Employed,Car,4,High,1
2417,46,3833,31080,36,445,Self-Employed,Business,2,High,0
2418,62,7928,49927,24,395,Unemployed,Education,3,Low,0
2419,28,10645,37947,12,800,Employed,Business,0,Low,1
2420,29,8816,12996,12,755,Employed,Home,0,Low,0
2421,47,2740,48545,24,703,Self-Employed,Car,2,High,1
2422,24,9256,19862,36,307,Unemployed,Car,3,Low,1
2423,41,4380,43232,48,519,Unemployed,Car,4,Low,0
2424,51,12549,28104,12,401,Employed,Car,3,Low,0
2425,41,11635,22305,36,301,Unemployed,Home,0,Low,0
2426,60,5680,40860,24,789,Employed,Education,2,Low,0
2427,45,11940,10527,60,499,Employed,Education,1,Low,1
2428,59,4401,49559,36,325,Unemployed,Education,2,Low,0
2429,35,13363,18727,36,649,Self-Employed,Home,4,Low,1
2430,55,14432,34967,60,401,Employed,Home,4,Low,1
2431,63,9177,28849,36,630,Employed,Education,0,High,1
2432,61,4006,7719,12,671,Employed,Education,2,Low,0
2433,57,11978,17924,12,496,Employed,Home,1,High,1
2434,62,3409,14215,12,809,Unemployed,Business,2,High,1
2435,48,3762,29588,36,329,Unemployed,Home,4,Low,1
2436,34,2909,30290,36,598,Unemployed,Car,2,Low,1
2437,24,2760,25009,36,432,Unemployed,Education,0,High,1
2438,40,8638,36912,24,831,Employed,Business,4,Low,0
2439,54,7612,6144,60,607,Self-Employed,Education,2,Low,1
2440,32,5240,42302,36,320,Self-Employed,Business,2,Low,0
2441,53,12881,19635,60,340,Unemployed,Education,0,Low,1
2442,44,2530,38488,48,797,Employed,Education,0,Low,1
2443,40,11551,6006,12,771,Unemployed,Education,2,Low,1
2444,25,14010,16490,24,607,Self-Employed,Car,1,Low,0
2445,58,12219,32044,60,758,Unemployed,Home,4,High,1
2446,50,4560,12099,12,813,Employed,Business,2,Low,1
2447,44,4177,28500,24,802,Employed,Car,0,Low,0
2448,63,7103,5537,12,343,Employed,Car,4,Low,0
2449,60,9706,16016,36,340,Unemployed,Education,0,Low,0
2450,27,3537,40453,36,562,Self-Employed,Business,4,Low,1
2451,56,11465,6980,12,593,Employed,Business,2,Low,1
2452,58,4781,10906,24,308,Self-Employed,Business,3,High,1
2453,36,2946,38307,12,352,Self-Employed,Business,3,Low,0
2454,35,7257,28430,48,427,Unemployed,Business,4,Low,0
2455,43,11490,49844,24,830,Unemployed,Car,0,Low,0
2456,32,7097,33629,24,824,Self-Employed,Business,0,Low,1
2457,49,4511,32775,12,439,Employed,Car,0,Low,0
2458,64,4188,45029,60,531,Employed,Business,2,Low,1
2459,35,8063,35398,12,387,Unemployed,Education,4,Low,1
2460,49,2881,46988,60,500,Employed,Car,2,Low,0
2461,63,3847,5051,24,687,Self-Employed,Car,3,Low,0
2462,41,8599,29818,36,660,Employed,Business,3,High,0
2463,35,3975,6686,36,431,Unemployed,Business,0,Low,0
2464,34,8577,24205,12,476,Self-Employed,Home,0,Low,1
2465,62,7726,27947,60,351,Self-Employed,Education,4,Low,1
2466,64,14460,13096,12,845,Employed,Education,3,High,1
2467,36,6568,47800,48,321,Employed,Car,4,Low,0
2468,35,9163,13616,12,618,Self-Employed,Education,3,High,0
2469,62,13156,48087,12,467,Unemployed,Home,1,Low,1
2470,24,8582,13545,12,337,Unemployed,Business,4,Low,0
2471,47,13255,41458,12,672,Employed,Business,1,Low,1
2472,43,13320,13484,60,726,Unemployed,Business,2,Low,0
2473,49,10689,5716,60,465,Self-Employed,Car,3,Low,0
2474,61,4216,28667,60,801,Unemployed,Home,1,Low,1
2475,29,11180,34200,48,374,Self-Employed,Car,2,Low,1
2476,63,7701,9575,48,739,Employed,Car,4,Low,0
2477,63,10017,25956,12,564,Unemployed,Education,1,Low,1
2478,27,4608,15670,60,705,Self-Employed,Education,1,High,0
2479,62,12667,20637,48,542,Employed,Car,2,Low,0
2480,24,14706,21346,36,842,Self-Employed,Home,1,Low,1
2481,25,11562,31940,12,576,Unemployed,Car,2,Low,0
2482,25,13780,38405,24,849,Self-Employed,Car,3,Low,0
2483,31,12694,45747,60,607,Employed,Car,3,High,0
2484,61,6809,14491,12,702,Employed,Business,3,High,1
2485,48,8345,17631,12,729,Unemployed,Business,1,Low,0
2486,36,2178,26934,24,375,Employed,Home,1,Low,1
2487,61,9771,32182,36,638,Unemployed,Education,0,High,0
2488,50,9971,13903,48,749,Employed,Education,0,High,0
2489,24,3929,32186,48,378,Unemployed,Home,2,Low,1
2490,22,4548,16725,24,337,Employed,Education,1,Low,1
2491,23,6834,17070,24,617,Unemployed,Car,2,Low,0
2492,41,2111,41109,48,627,Self-Employed,Business,4,Low,1
2493,26,13411,21068,36,729,Self-Employed,Business,1,Low,0
2494,63,9948,10550,36,462,Unemployed,Education,4,Low,1
2495,38,2714,23167,12,657,Employed,Education,1,Low,0
2496,64,11593,30443,24,628,Employed,Home,3,Low,1
2497,25,13116,19688,24,713,Unemployed,Home,2,Low,1
2498,29,8034,43351,24,775,Employed,Car,0,High,1
2499,40,3381,34548,48,755,Unemployed,Car,3,High,1
2500,48,5127,17113,48,451,Self-Employed,Education,0,High,0
2501,46,9483,27289,48,837,Unemployed,Home,1,Low,1
2502,38,13203,23160,36,714,Employed,Business,4,Low,0
2503,39,3208,38849,48,642,Employed,Home,4,Low,0
2504,23,13317,24309,12,685,Unemployed,Car,3,Low,1
2505,29,2036,41852,48,466,Unemployed,Education,0,Low,1
2506,56,3828,45396,36,771,Unemployed,Education,2,Low,0
2507,51,13252,11195,24,439,Unemployed,Home,2,Low,1
2508,37,5341,6011,12,528,Self-Employed,Home,2,Low,1
2509,43,9006,29286,36,372,Employed,Home,0,Low,1
2510,54,9675,38581,60,727,Employed,Home,4,High,1
2511,61,7347,17138,24,598,Unemployed,Car,4,Low,0
2512,61,14133,31719,48,535,Unemployed,Car,3,Low,1
2513,25,9890,38040,36,396,Unemployed,Home,0,High,0
2514,35,2809,25028,60,777,Self-Employed,Education,1,High,1
2515,23,13264,21192,36,790,Self-Employed,Business,1,High,1
2516,39,6118,23100,48,595,Unemployed,Business,2,Low,1
2517,48,3526,11276,36,705,Employed,Car,4,Low,1
2518,23,13711,32551,60,746,Self-Employed,Home,4,Low,0
2519,58,2495,11828,36,574,Employed,Home,0,Low,1
2520,24,2424,38124,12,319,Self-Employed,Business,0,High,1
2521,44,4747,18654,12,726,Unemployed,Education,3,Low,1
2522,51,12257,5203,48,660,Unemployed,Business,0,Low,0
2523,31,3982,25129,60,609,Employed,Education,3,High,1
2524,57,3468,11614,60,655,Unemployed,Business,2,High,0
2525,21,9728,38264,60,326,Employed,Home,2,Low,1
2526,29,8770,17989,60,346,Unemployed,Car,4,Low,0
2527,37,13992,6579,60,755,Unemployed,Car,4,Low,0
2528,21,3233,9876,24,411,Employed,Education,4,High,1
2529,23,11989,45618,36,674,Unemployed,Car,1,Low,1
2530,46,10756,9125,60,614,Self-Employed,Car,3,Low,1
2531,51,5019,10328,12,425,Unemployed,Car,2,Low,1
2532,46,3304,47040,36,306,Employed,Business,3,Low,0
2533,43,10034,16696,48,659,Unemployed,Home,1,High,0
2534,50,2132,41147,48,661,Self-Employed,Business,1,Low,0
2535,30,2448,21119,60,563,Unemployed,Home,2,Low,1
2536,28,8407,29017,24,574,Unemployed,Car,2,Low,1
2537,64,12022,31204,24,695,Self-Employed,Business,4,Low,1
2538,45,12350,24562,36,612,Unemployed,Home,1,High,1
2539,42,13818,29428,24,791,Unemployed,Business,4,Low,1
2540,35,2849,26497,48,703,Employed,Education,2,High,1
2541,61,7357,8372,60,676,Employed,Business,1,High,1
2542,30,5962,28147,12,840,Employed,Car,1,Low,1
2543,40,11672,22453,48,619,Employed,Business,0,Low,0
2544,61,11092,38960,48,524,Self-Employed,Car,1,Low,0
2545,43,6854,22197,36,755,Employed,Education,4,Low,1
2546,21,3539,38920,24,588,Employed,Car,0,Low,0
2547,22,3899,6883,12,580,Unemployed,Car,1,Low,1
2548,39,4944,21651,12,716,Self-Employed,Car,0,Low,1
2549,34,6957,25055,24,783,Self-Employed,Business,1,Low,0
2550,28,7943,7812,60,837,Employed,Education,3,Low,0
2551,58,5244,35445,24,612,Unemployed,Business,4,Low,1
2552,32,8336,11562,60,356,Self-Employed,Home,4,High,1
2553,46,10706,12013,12,422,Self-Employed,Business,0,Low,1
2554,47,3591,10177,36,589,Employed,Home,3,Low,1
2555,49,9953,25469,48,609,Employed,Car,0,High,0
2556,35,9855,36229,12,527,Employed,Home,0,Low,1
2557,21,9795,34101,12,305,Unemployed,Car,2,High,1
2558,63,10275,32987,12,742,Employed,Education,0,Low,0
2559,48,5742,28105,48,609,Self-Employed,Education,1,High,0
2560,23,4127,28467,60,301,Self-Employed,Car,2,High,0
2561,38,3601,22433,36,674,Employed,Car,2,Low,0
2562,54,14809,23217,36,545,Self-Employed,Car,0,Low,0
2563,52,3222,36308,36,771,Unemployed,Home,2,Low,1
2564,49,7690,13989,60,603,Employed,Education,4,Low,1
2565,45,14521,42235,24,357,Self-Employed,Car,2,Low,0
2566,46,3842,24359,24,524,Self-Employed,Home,2,Low,1
2567,59,12483,10155,36,725,Employed,Car,1,High,1
2568,28,10058,12961,12,501,Self-Employed,Education,4,High,1
2569,39,11781,28983,12,817,Self-Employed,Business,2,High,1
2570,62,7565,12186,48,329,Employed,Education,1,Low,0
2571,42,13088,12506,24,450,Unemployed,Business,4,Low,0
2572,49,6488,46026,12,847,Self-Employed,Education,2,High,0
2573,53,10200,35225,36,409,Unemployed,Car,0,Low,1
2574,58,14900,12791,48,420,Unemployed,Education,2,Low,0
2575,55,8950,32597,24,540,Unemployed,Car,4,Low,1
2576,63,10906,11770,48,329,Unemployed,Home,2,Low,1
2577,23,3927,14893,12,765,Unemployed,Business,4,Low,1
2578,39,10301,30154,36,764,Self-Employed,Business,0,Low,1
2579,30,6929,29318,36,536,Self-Employed,Home,2,Low,0
2580,47,10457,45755,36,670,Unemployed,Business,4,Low,1
2581,35,7492,44933,12,448,Employed,Home,1,Low,1
2582,31,5223,18514,60,673,Unemployed,Car,2,High,1
2583,46,8127,36358,36,815,Employed,Education,0,High,0
2584,44,7071,27438,60,732,Self-Employed,Business,1,High,1
2585,33,2954,42273,36,551,Employed,Education,2,High,0
2586,52,9050,32456,60,772,Self-Employed,Car,4,High,0
2587,57,11541,28631,24,835,Employed,Business,3,Low,0
2588,24,3574,10807,24,345,Unemployed,Home,1,Low,1
2589,33,12415,11256,36,838,Self-Employed,Home,4,Low,1
2590,29,8668,20156,48,734,Employed,Business,1,High,1
2591,54,9095,16908,48,575,Unemployed,Car,2,Low,0
2592,57,14023,29435,12,807,Employed,Education,0,Low,0
2593,27,9720,9284,24,394,Employed,Education,0,Low,1
2594,21,5255,35432,24,445,Employed,Education,1,Low,0
2595,32,3058,19438,48,701,Self-Employed,Business,3,High,1
2596,41,3957,39922,36,803,Self-Employed,Education,2,High,0
2597,31,8648,45510,12,714,Unemployed,Home,4,High,1
2598,64,6944,19227,24,575,Employed,Education,2,High,1
2599,64,7058,19265,12,625,Employed,Car,3,Low,0
2600,64,13339,24188,24,555,Self-Employed,Education,4,High,0
2601,34,4519,23604,60,812,Self-Employed,Home,3,High,0
2602,54,13845,33565,60,446,Employed,Education,2,Low,1
2603,54,9913,37588,12,594,Employed,Education,2,High,1
2604,45,4570,46958,48,674,Employed,Business,1,Low,1
2605,24,13119,37074,48,355,Self-Employed,Car,3,Low,1
2606,46,9450,22105,24,525,Employed,Education,0,Low,1
2607,36,5887,30790,60,818,Employed,Education,3,Low,0
2608,30,9703,28358,60,319,Self-Employed,Business,3,High,1
2609,22,8417,35944,12,458,Self-Employed,Car,4,Low,1
2610,55,11079,27187,12,769,Self-Employed,Car,4,Low,1
2611,39,2744,9025,48,665,Self-Employed,Business,1,High,1
2612,26,8420,33155,48,300,Employed,Car,0,High,1
2613,39,5514,29512,48,528,Self-Employed,Car,2,Low,1
2614,28,4930,20907,36,582,Self-Employed,Home,0,High,0
2615,34,7537,19469,60,418,Employed,Education,0,Low,0
2616,30,12871,42924,60,526,Unemployed,Education,0,Low,1
2617,23,8713,19410,12,323,Employed,Home,1,Low,1
2618,58,2175,48763,60,607,Employed,Car,1,Low,1
2619,49,2565,42580,12,606,Employed,Education,0,High,0
2620,35,5217,13650,36,793,Employed,Car,2,Low,1
2621,43,6357,31277,48,807,Employed,Car,2,Low,1
2622,43,14818,7456,36,610,Employed,Business,2,Low,1
2623,38,7973,21590,48,388,Employed,Home,1,Low,0
2624,39,11586,32892,48,574,Unemployed,Business,4,High,0
2625,48,7802,22740,12,779,Employed,Home,2,High,1
2626,46,9034,16788,48,756,Employed,Car,4,Low,1
2627,30,11412,28845,36,654,Employed,Education,0,Low,1
2628,24,2947,12156,24,561,Employed,Car,2,Low,1
2629,22,10776,13151,12,475,Employed,Education,0,Low,1
2630,23,13054,31515,48,703,Unemployed,Car,0,Low,1
2631,27,11812,15987,48,529,Self-Employed,Car,3,Low,1
2632,36,5355,17560,60,622,Self-Employed,Education,0,Low,1
2633,51,12541,7673,12,576,Employed,Business,0,Low,1
2634,30,7251,11823,12,574,Unemployed,Home,1,Low,0
2635,39,5191,44644,36,516,Unemployed,Home,0,Low,1
2636,48,7847,33365,24,489,Unemployed,Car,2,Low,1
2637,37,13399,43741,36,317,Self-Employed,Education,1,Low,1
2638,48,8716,13282,36,713,Self-Employed,Home,3,Low,1
2639,39,12768,46435,36,483,Unemployed,Education,3,Low,1
2640,57,2531,13056,24,542,Self-Employed,Business,0,Low,1
2641,43,3231,39814,36,725,Self-Employed,Business,4,High,1
2642,40,12185,26691,12,352,Employed,Home,3,High,1
2643,33,3697,45504,24,525,Employed,Education,3,Low,0
2644,33,5370,41458,48,618,Employed,Car,3,Low,1
2645,63,3545,33601,60,668,Unemployed,Business,2,Low,1
2646,31,13357,26013,60,547,Employed,Education,4,Low,1
2647,35,3437,40513,12,476,Unemployed,Car,0,Low,1
2648,37,10562,28407,60,775,Employed,Home,0,Low,0
2649,48,6504,29660,60,312,Unemployed,Education,1,Low,0
2650,39,7502,7639,60,660,Self-Employed,Business,2,High,0
2651,24,9608,26320,48,588,Unemployed,Home,4,Low,0
2652,42,7997,5076,60,730,Self-Employed,Home,1,High,0
2653,42,7566,11473,36,638,Employed,Car,4,Low,1
2654,57,9786,15622,12,333,Self-Employed,Business,3,Low,1
2655,59,10808,23808,12,623,Self-Employed,Business,4,Low,1
2656,54,6166,10296,12,755,Employed,Education,1,Low,0
2657,53,6014,27951,48,524,Unemployed,Car,2,High,1
2658,64,14371,27470,48,432,Unemployed,Education,2,Low,1
2659,62,4256,5405,60,779,Unemployed,Home,3,High,1
2660,60,6354,20345,36,520,Employed,Home,0,Low,1
2661,53,5310,5397,60,700,Unemployed,Education,1,High,1
2662,32,9399,19665,12,359,Self-Employed,Business,0,Low,0
2663,22,2931,19560,36,431,Employed,Business,3,High,1
2664,48,4329,31376,12,692,Unemployed,Home,4,Low,1
2665,30,2393,24857,36,313,Self-Employed,Home,4,Low,1
2666,42,4465,37506,24,734,Self-Employed,Car,3,Low,1
2667,37,5277,47768,48,773,Unemployed,Home,2,Low,1
2668,46,7430,42757,48,450,Employed,Home,1,Low,1
2669,23,9002,25310,12,769,Self-Employed,Home,3,Low,1
2670,27,12121,23328,12,710,Self-Employed,Education,3,Low,1
2671,64,10817,46397,24,644,Self-Employed,Home,1,Low,1
2672,28,7988,43159,60,495,Self-Employed,Car,2,Low,0
2673,40,9509,37990,36,843,Unemployed,Car,2,High,1
2674,32,7932,12830,24,372,Employed,Car,1,Low,1
2675,55,14849,41768,24,493,Self-Employed,Car,0,Low,1
2676,37,13071,24048,12,491,Self-Employed,Home,4,High,1
2677,48,13358,26748,12,729,Self-Employed,Car,1,Low,1
2678,61,13614,10393,60,800,Employed,Education,2,Low,0
2679,30,12301,28885,60,516,Self-Employed,Education,0,Low,1
2680,42,11357,5603,12,784,Employed,Business,3,High,0
2681,58,4781,11295,48,659,Employed,Business,3,Low,1
2682,53,12083,46148,60,608,Employed,Home,3,Low,1
2683,42,13374,12103,24,720,Employed,Business,4,High,0
2684,64,3639,30251,12,710,Unemployed,Education,2,Low,1
2685,57,10973,19546,36,816,Unemployed,Education,0,Low,1
2686,33,14884,20456,36,542,Unemployed,Home,2,Low,1
2687,47,12248,23228,48,471,Self-Employed,Business,4,High,0
2688,35,12515,19674,12,759,Employed,Home,4,High,1
2689,42,4274,5046,24,664,Employed,Car,1,Low,1
2690,50,12425,5819,48,377,Unemployed,Car,2,Low,0
2691,63,12830,41575,24,789,Unemployed,Business,3,Low,1
2692,60,13479,24406,36,831,Employed,Home,1,Low,1
2693,57,4480,6080,24,825,Unemployed,Education,2,Low,1
2694,54,12808,8146,36,505,Self-Employed,Home,1,Low,1
2695,64,8799,16926,60,590,Self-Employed,Car,1,Low,0
2696,54,10547,20930,36,803,Self-Employed,Home,0,Low,0
2697,55,14679,20287,36,727,Employed,Home,1,High,0
2698,62,6674,44509,48,770,Unemployed,Business,4,High,0
2699,39,13538,39985,48,812,Self-Employed,Education,3,High,1
2700,28,5522,7886,12,623,Self-Employed,Home,0,Low,1
2701,59,12659,18344,12,554,Self-Employed,Car,1,Low,1
2702,53,8104,27018,36,350,Self-Employed,Home,0,High,1
2703,64,7819,46755,60,399,Self-Employed,Education,3,Low,0
2704,48,2163,12293,12,763,Unemployed,Home,3,Low,1
2705,57,8922,8006,36,798,Self-Employed,Education,0,High,1
2706,45,13826,44726,48,536,Self-Employed,Home,2,High,1
2707,56,14925,29356,12,771,Self-Employed,Business,3,Low,1
2708,37,13855,48349,12,697,Employed,Education,4,Low,0
2709,44,13446,41911,36,456,Unemployed,Home,4,Low,0
2710,41,5381,19699,36,597,Self-Employed,Home,1,Low,0
2711,22,4064,33434,24,313,Unemployed,Home,2,High,1
2712,51,8589,22602,24,415,Self-Employed,Home,2,Low,0
2713,64,14457,45786,60,438,Employed,Home,1,Low,1
2714,53,9447,14952,12,374,Employed,Car,3,Low,0
2715,50,5984,46684,24,659,Employed,Business,0,Low,0
2716,32,5887,35489,36,323,Employed,Car,2,Low,1
2717,64,2339,37905,12,705,Self-Employed,Home,2,High,1
2718,32,6821,18381,24,625,Unemployed,Education,3,High,1
2719,44,5781,18893,60,633,Self-Employed,Education,0,Low,1
2720,44,5590,33130,60,628,Employed,Car,4,Low,1
2721,31,12125,35415,60,599,Employed,Car,2,Low,1
2722,33,7130,24143,60,388,Self-Employed,Car,3,Low,1
2723,47,9691,37826,36,314,Self-Employed,Business,2,High,1
2724,28,11837,5388,60,600,Unemployed,Business,4,High,1
2725,30,14420,17116,48,617,Unemployed,Education,1,High,0
2726,28,12879,24806,60,477,Unemployed,Car,3,Low,1
2727,40,9315,44780,24,761,Unemployed,Business,0,Low,0
2728,28,9733,9852,12,568,Employed,Car,1,Low,0
2729,29,7049,13627,24,404,Employed,Car,0,High,0
2730,27,12318,34048,12,816,Unemployed,Business,4,Low,1
2731,34,14633,39750,36,638,Unemployed,Home,0,High,0
2732,48,6704,32014,12,691,Employed,Home,2,Low,0
2733,22,2638,16060,48,440,Employed,Car,4,High,1
2734,63,9709,48179,60,468,Employed,Education,1,Low,1
2735,28,7143,13209,24,316,Unemployed,Business,2,Low,0
2736,33,3224,43197,12,843,Unemployed,Home,2,Low,1
2737,41,13897,17158,24,304,Employed,Business,4,High,0
2738,48,14102,23076,60,436,Employed,Business,0,High,1
2739,55,6245,9376,36,461,Self-Employed,Car,0,High,1
2740,43,11741,24651,60,762,Self-Employed,Home,1,Low,0
2741,35,7423,28948,36,737,Employed,Business,4,High,1
2742,22,14337,23079,24,681,Employed,Education,1,Low,0
2743,32,8607,18978,36,681,Self-Employed,Car,3,Low,0
2744,56,9407,17705,36,781,Unemployed,Car,4,High,0
2745,23,11697,31907,36,654,Employed,Home,3,Low,1
2746,25,10073,26831,36,544,Employed,Car,1,Low,1
2747,23,10152,48629,36,775,Employed,Home,3,Low,1
2748,39,14622,12965,12,764,Unemployed,Business,3,High,1
2749,22,11567,15248,36,489,Self-Employed,Education,2,High,1
2750,64,10859,28633,36,793,Unemployed,Home,2,Low,1
2751,57,7768,34503,60,822,Unemployed,Business,1,High,1
2752,37,4374,12461,60,834,Employed,Business,1,Low,0
2753,34,6090,31998,60,581,Employed,Business,0,Low,1
2754,48,3015,17821,36,729,Self-Employed,Car,3,Low,0
2755,47,2335,24870,60,552,Unemployed,Education,0,Low,0
2756,30,14953,18410,12,342,Self-Employed,Education,0,Low,1
2757,23,2080,27185,24,781,Unemployed,Education,4,Low,0
2758,56,4134,24133,60,440,Employed,Home,0,Low,0
2759,58,11991,29169,60,810,Self-Employed,Education,0,Low,1
2760,45,2257,28359,12,836,Unemployed,Business,3,Low,0
2761,42,2184,32400,48,569,Employed,Car,0,Low,1
2762,59,8841,39173,48,660,Employed,Education,3,Low,1
2763,50,2122,16179,12,594,Unemployed,Business,3,High,0
2764,41,10056,41343,60,774,Employed,Education,0,High,0
2765,50,9263,40495,24,771,Unemployed,Home,3,High,1
2766,48,6700,11487,60,460,Unemployed,Business,1,High,1
2767,51,8658,19760,12,344,Unemployed,Home,1,Low,0
2768,46,5514,31439,12,506,Unemployed,Car,3,High,0
2769,63,7633,31929,36,407,Employed,Car,1,Low,1
2770,42,8077,11291,12,803,Unemployed,Home,4,Low,1
2771,41,3394,32472,36,741,Unemployed,Education,2,Low,0
2772,21,4352,34403,12,364,Unemployed,Home,1,Low,0
2773,57,13411,7501,36,566,Employed,Business,0,High,1
2774,33,11500,48040,36,698,Self-Employed,Home,1,High,1
2775,41,7961,6755,60,523,Unemployed,Home,4,High,0
2776,29,5944,41158,36,588,Self-Employed,Car,4,High,1
2777,37,12133,10816,48,584,Self-Employed,Business,4,Low,0
2778,41,8405,22600,12,485,Unemployed,Car,1,Low,0
2779,51,2490,37616,24,525,Self-Employed,Business,2,Low,0
2780,59,3054,6890,12,499,Self-Employed,Car,0,Low,1
2781,42,2701,16223,60,803,Unemployed,Car,2,Low,1
2782,32,4934,29966,60,310,Employed,Education,1,Low,0
2783,26,7387,12688,36,797,Self-Employed,Car,2,Low,0
2784,36,8037,44268,60,576,Unemployed,Car,3,Low,1
2785,46,6695,44484,60,302,Unemployed,Education,0,Low,1
2786,25,11326,32553,12,304,Self-Employed,Business,3,High,0
2787,29,10271,8746,48,820,Self-Employed,Education,3,Low,1
2788,60,11027,23579,48,579,Self-Employed,Home,2,High,1
2789,34,10843,18014,36,722,Unemployed,Education,3,High,0
2790,64,2416,46961,60,537,Unemployed,Education,0,Low,1
2791,62,7566,41397,60,616,Employed,Car,3,Low,1
2792,50,7173,12766,48,426,Employed,Car,1,Low,1
2793,46,7999,11147,36,603,Unemployed,Car,0,Low,1
2794,49,13872,6063,60,477,Employed,Business,1,Low,1
